,,Name,%,Price,Rating,Release,Ends,Started
,,"Backpack Battles

new historical low",-20%,"R$ 33,59",87.41%,Mar 2024,—,
,,"SENRAN KAGURA Bon Appétit! - Full Course

Daily Deal",-75%,"R$ 9,49",87.36%,Nov 2016,,
,,"Corpse Party (2021)

Daily Deal",-55%,"R$ 34,39",87.33%,Oct 2021,,
,,"YOHANE THE PARHELION -BLAZE in the DEEPBLUE-

new historical low",-37%,"R$ 94,49",87.33%,Nov 2023,,
,,"Potionomics

Daily Deal",-20%,"R$ 37,99",87.26%,Oct 2022,,
,,"Apollo Justice: Ace Attorney Trilogy

new historical low",-40%,"R$ 127,80",87.22%,Jan 2024,—,
,,"Torn Away

new historical low",-40%,"R$ 28,19",87.12%,Sep 2023,,
,,"Ys: Memories of Celceta

Daily Deal",-40%,"R$ 28,49",87.11%,Jul 2018,,
,,"METAL SLUG 3

new historical low",-80%,"R$ 2,99",87.08%,Feb 2014,,
,,"BioShock® 2

new historical low",-85%,"R$ 4,49",87.03%,Feb 2010,,
,,"Zwei: The Ilvard Insurrection

Daily Deal",-60%,"R$ 15,19",87.03%,Oct 2017,,
,,"Xanadu Next

Daily Deal",-70%,"R$ 8,69",86.99%,Nov 2016,,
,,"Ys SEVEN

Daily Deal",-40%,"R$ 27,59",86.90%,Aug 2017,,
,,"Train Valley 2

new historical low",-75%,"R$ 7,24",86.38%,Apr 2019,,
,,"METAL SLUG

new historical low",-80%,"R$ 3,19",86.17%,Jun 2015,,
,,"Tavern Talk

new historical low",-20%,"R$ 43,99",86.09%,Jun 2024,,
,,"No Straight Roads: Encore Edition

Week Long Dealnew historical low",-75%,"R$ 11,87",85.96%,Oct 2021,,
,,"Lucky Tower Ultimate

Week Long Dealnew historical low",-10%,"R$ 26,99",85.41%,Sep 2024,,
,,"Nitroplus Blasterz: Heroines Infinite Duel

Daily Deal",-75%,"R$ 9,49",85.35%,Dec 2016,,
,,"METAL SLUG X

new historical low",-80%,"R$ 3,19",85.06%,Oct 2014,,
,,"Ys VI: The Ark of Napishtim

Daily Deal",-75%,"R$ 9,24",85.01%,Apr 2015,,
,,"Enshrouded

Top Seller",-20%,"R$ 71,99",84.56%,Jan 2024,,
,,"REVEIL

new historical low",-35%,"R$ 38,99",84.45%,Mar 2024,,
,,"Portal Dungeon

new historical low",-35%,"R$ 30,54",83.45%,Jul 2023,—,
,,"Monster Hunter Stories

new historical low",-20%,"R$ 103,20",83.41%,Jun 2024,—,
,,"METAL SLUG 2

new historical low",-80%,"R$ 2,79",83.24%,Apr 2016,,
,,"Aquarium Designer

new historical low",-45%,"R$ 11,37",82.55%,Oct 2021,,
,,"Cyberpunk 2077

Top Seller",-50%,"R$ 99,95",82.48%,Dec 2020,,
,,"Thymesia

new historical low",-60%,"R$ 29,96",82.23%,Aug 2022,,
,,"Into The Flames

new historical low",-70%,"R$ 11,39",81.41%,Jan 2023,,
,,"Teenage Mutant Ninja Turtles: Splintered Fate

Introductory OfferTop Sellernew historical low",-10%,"R$ 58,49",81.34%,Nov 2024,,
,,"A Perfect Day

new historical low",-41%,"R$ 35,39",81.25%,Feb 2022,,
,,"The Lord of the Rings: Return to Moria™

Top Sellernew historical low",-33%,"R$ 49,57",79.09%,Aug 2024,,
,,"Mirthwood

Introductory OfferTop Sellernew historical low",-10%,"R$ 66,59",72.14%,Nov 2024,,
,,Deep Rock Galactic,-67%,"R$ 19,13",96.14%,May 2020,,
,,Firework,-50%,"R$ 10,34",95.95%,Feb 2021,,
,,Resident Evil 2,-75%,"R$ 34,97",95.69%,Jan 2019,,
,,Phoenix Wright: Ace Attorney Trilogy,-67%,"R$ 23,09",95.58%,Apr 2019,—,
,,Inscryption,-60%,"R$ 19,99",95.54%,Oct 2021,,
